 test 0 -- 0,344410808354
1 -- 0,401745161023634
2 -- 0,745926638024414
3 -- 0,80307106334174
4 -- 1,14679472650526
5 -- 1,20363445544706
6 -- 0,891064204879846
7 -- 1,12981331485847
8 -- 1,04544331888813
9 -- 1,14813440093267
10 -- 1,27000219931151
11 -- 1,19493100952282
12 -- 1,22693099836123
13 -- 1,29593480305811
14 -- 1,29243790292657
15 -- 1,29244009463511
16 -- 1,19493100952282
17 -- 1,22693099836123
18 -- 1,29593480305811
19 -- 1,29243790292657
20 -- 1,29244009463511
21 -- 1,19493100952282
22 -- 1,22693099836123
23 -- 1,29593480305811
24 -- 1,29243790292657
25 -- 1,29244009463511
26 -- 1,19493100952282
27 -- 1,22693099836123
28 -- 1,29593480305811
29 -- 1,29243790292657
30 -- 1,29244009463511
31 -- 1,19493100952282
32 -- 1,22693099836123
33 -- 1,29593480305811
34 -- 1,29243790292657
35 -- 1,29244009463511
36 -- 1,19493100952282
37 -- 1,22693099836123
38 -- 1,29593480305811
39 -- 1,29243790292657
40 -- 1,29244009463511
41 -- 1,19493100952282
42 -- 1,22693099836123
43 -- 1,29593480305811
44 -- 1,29243790292657
45 -- 1,29244009463511
46 -- 1,19493100952282
47 -- 1,11101584710299
48 -- 1,11710546856725
49 -- 0,976884926373973
50 -- 1,0089448790268
51 -- 1,0113558007848
52 -- 1,01766513696317
53 -- 1,07139523639719
54 -- 0,996704452849539
55 -- 1,10227147223701
56 -- 1,15683636142976
57 -- 1,08971271508176
58 -- 1,18341178945707
59 -- 1,17153728980291
60 -- 1,12774636414278
61 -- 1,20246105319204
62 -- 1,20935904958372
63 -- 1,18508054026914
64 -- 1,18480953526087
65 -- 1,12858545919437
66 -- 1,1180630652477
67 -- 1,15531619931204
68 -- 1,17232467789339
69 -- 1,10959581503365
70 -- 1,08948302422845
71 -- 1,15243125388983
72 -- 1,07377130659456
73 -- 1,0848781280034
74 -- 1,04282463482826
75 -- 1,01645785883932
76 -- 1,00541218777245
77 -- 1,08113100955619
78 -- 0,987220755113551
79 -- 0,972398116006017
80 -- 0,944713791015329
81 -- 1,0020998340768
82 -- 0,98044180972925
83 -- 0,956522377704818
84 -- 0,923164759310234
85 -- 0,944063519558338
86 -- 1,02450811462864
87 -- 1,10966275732346
88 -- 1,09397330846267
89 -- 1,06808879118592
90 -- 1,07996743069719
91 -- 1,11972970815057
92 -- 1,1769221152539
93 -- 1,17183513322674
94 -- 1,15890552716655
95 -- 1,16790527731382
96 -- 1,15578146328535
97 -- 1,16294989632896
98 -- 1,24283866877109
99 -- 1,26071365311833
100 -- 1,22025009333071
101 -- 1,14968850681201
102 -- 1,17019548868998
103 -- 1,20204664469631
104 -- 1,1646409759215
105 -- 1,15739013310216
106 -- 1,16087356013022
107 -- 1,20538928731264
108 -- 1,18151935350447
109 -- 1,13913990125811
110 -- 1,09208634372708
111 -- 1,16127055043723
112 -- 1,24439362200137
113 -- 1,28579651211496
114 -- 1,20134061260673
115 -- 1,14966202159791
116 -- 1,09877718957996
117 -- 1,12919355983147
118 -- 1,18441388887332
119 -- 1,24922933894843
120 -- 1,22588403182887
121 -- 1,18837638265872
122 -- 1,22444924611905
123 -- 1,21928090786182
124 -- 1,14038299241592
125 -- 1,09383428412604
126 -- 1,07925959919805
127 -- 1,22343034893883
128 -- 1,20213859590183
129 -- 1,15178219739316
130 -- 1,11995719154314
131 -- 1,12385814808334
132 -- 1,08900451278122
133 -- 1,09829007094639
134 -- 1,02966690782418
135 -- 1,11778135524251
136 -- 1,17402818962217
137 -- 1,17140391186863
138 -- 1,01218388498471
139 -- 0,995946422089056
140 -- 1,08005103626202
141 -- 1,12115984127626
142 -- 1,09313165298081
143 -- 1,14571275003781
144 -- 1,15260935012213
145 -- 1,20341026381096
146 -- 1,21122590021236
147 -- 1,21069763006461
148 -- 1,19624597525019
149 -- 1,22208561714816
150 -- 1,21944408893589
151 -- 1,20264991032911
152 -- 1,14383864319284
153 -- 1,16989291145414
154 -- 1,27822786024359
155 -- 1,27294162104957
156 -- 1,12005756506703
157 -- 1,0934438022786
158 -- 1,15526914558225
159 -- 1,21620341672545
160 -- 1,23223142803645
161 -- 1,18094806074609
162 -- 1,11518485795071
163 -- 1,14911980562913
164 -- 1,16627104196809
165 -- 1,13460253836269
166 -- 1,12762207710438
167 -- 1,18002172718169
168 -- 1,19057208925741
169 -- 1,10398576435832
170 -- 1,07721622218164
171 -- 1,04031936760902
172 -- 1,09372616040844
173 -- 1,11907868530202
174 -- 1,12098468048287
175 -- 1,13459768589318
176 -- 1,1860177595501
177 -- 1,14576342378874
178 -- 1,11343300271116
179 -- 1,11406853678823
180 -- 1,12371332139847
181 -- 1,15845398886084
182 -- 1,21838166560335
183 -- 1,19357772510242
184 -- 1,2107952564326
185 -- 1,22143289198308
186 -- 1,14027589115417
187 -- 1,15401050795991
188 -- 1,14111009971029
189 -- 1,07194704568664
190 -- 1,07228658452414
191 -- 1,18855719701759
192 -- 1,10303242633065
193 -- 1,15487881019156
194 -- 1,16901097899322
195 -- 1,12373615912538
196 -- 1,10543683998411
197 -- 1,13235990073771
198 -- 1,12774650040078
199 -- 1,15150566927926
200 -- 1,08665335035362
201 -- 1,09401783211896
202 -- 1,15129260145377
203 -- 1,22706397659738
204 -- 1,22497952016479
205 -- 1,16683045580346
206 -- 1,02103673417276
207 -- 1,1397838500085
208 -- 1,17254364538342
209 -- 1,17507306750185
210 -- 1,17723754062007
211 -- 1,20707030163473
212 -- 1,18915269471402
213 -- 1,152818581272
214 -- 1,03731820186297
215 -- 1,09814885317013
216 -- 1,18081700842584
217 -- 1,20567643191401
218 -- 1,19941648500281
219 -- 1,15100281689787
220 -- 1,12760012414771
221 -- 1,12960384879542
222 -- 1,03960204769756
223 -- 1,05043650586304
224 -- 1,04167474440525
225 -- 1,1200863237867
226 -- 1,17188607532603
227 -- 1,11959060020327
228 -- 1,06831477652719
229 -- 1,10270019035772
230 -- 1,17737765660707
231 -- 1,20789487752095
232 -- 1,13256465885006
233 -- 1,10789164231339
234 -- 1,15216548854142
235 -- 1,17736043791699
236 -- 1,14986076596605
237 -- 1,13894400028811
238 -- 1,15998622957826
239 -- 1,23038798449697
240 -- 1,2605553138743
241 -- 1,23533973478926
242 -- 1,12130866064747
243 -- 1,0543345705762
244 -- 1,11278951265708
245 -- 1,17258950682904
246 -- 1,26570442777737
247 -- 1,30477548804436
248 -- 1,22123196347225
249 -- 1,13452792394196
